"Symbol","Name","Quantity","Available QTY","Current price","Average Cost","Market Value","% Unrealized P/L","Total P/L","Unrealized P/L","Realized P/L","Today's P/L","% of Portfolio","Currency"
"AMD","Advanced Micro Devices","0.5","0.5","255.200","129.70","127.60","+96.76%","+78.55","+62.75","+15.80","-0.57","20.77%","USD"
"BBAI","BigBear.ai Holdings","3","3","6.170","5.70","18.51","+8.25%","+1.41","+1.41","0.00","+0.12","3.01%","USD"
"CWVX","Tradr 2X Long CRWV Daily ETF","2","2","13.960","13.70","27.92","+1.90%","+0.52","+0.52","0.00","+0.86","4.55%","USD"
"DPST","Direxion Daily Regional Banks Bull 3X Shares ETF","0.2","0.2","83.430","105.09","16.69","-20.61%","-4.23","-4.33","+0.10","-0.10","2.72%","USD"
"GLXY","Galaxy Digital","3","3","31.600","19.50","94.80","+62.05%","+36.30","+36.30","0.00","+0.48","15.43%","USD"
"IRE","Defiance Daily Target 2X Long IREN ETF","2","2","32.000","25.00","64.00","+28.00%","+14.00","+14.00","0.00","+2.32","10.42%","USD"
"MSTU","T-Rex 2X Long MSTR Daily Target ETF","5","5","2.610","3.80","13.05","-31.32%","-5.95","-5.95","0.00","-0.25","2.12%","USD"
"ONDS","Ondas Holdings","3","3","6.000","6.10","18.00","-1.64%","-0.30","-0.30","0.00","0.00","2.93%","USD"
"SOFX","Defiance Daily Target 2x Long SOFI ETF","1","1","46.640","37.50","46.64","+24.37%","+9.14","+9.14","0.00","0.00","7.59%","USD"
"TLRY","Tilray Brands","25","25","1.290","0.4324","32.25","+198.33%","+53.13","+21.44","+31.69","+0.25","5.25%","USD"
"TSLL","Direxion Daily TSLA Bull 2X Shares","1","1","22.020","13.20","22.02","+66.82%","+8.91","+8.82","+0.09","+0.10","3.58%","USD"
"TTD","The Trade Desk","1","1","47.900","48.50","47.90","-1.24%","-0.60","-0.60","0.00","+0.20","7.80%","USD"
"UNHG","Leverage Shares 2X Long UNH Daily ETF","2","2","18.760","17.50","37.52","+7.20%","+2.52","+2.52","0.00","+0.10","6.11%","USD"
"UPSX","Tradr 2X Long UPST Daily ETF","1","1","9.870","16.00","9.87","-38.31%","-6.13","-6.13","0.00","0.00","1.61%","USD"
