threshold,accuracy,macro_f1,hall_precision,hall_recall,hall_f1,accurate_precision,accurate_recall,accurate_f1,contr_precision,contr_recall,contr_f1
0.5,0.939,0.9239,1.0,0.695,0.8201,0.9077,1.0,0.9516,1.0,1.0,1.0
0.55,0.95,0.9555,0.8387,1.0,0.9123,1.0,0.9123,0.9541,1.0,1.0,1.0
0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.65,0.95,0.9555,0.8387,1.0,0.9123,1.0,0.9123,0.9541,1.0,1.0,1.0
0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.75,0.95,0.9555,0.8387,1.0,0.9123,1.0,0.9123,0.9541,1.0,1.0,1.0
0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.85,0.95,0.9555,0.8387,1.0,0.9123,1.0,0.9123,0.9541,1.0,1.0,1.0
0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.95,0.95,0.9555,0.8387,1.0,0.9123,1.0,0.9123,0.9541,1.0,1.0,1.0
